"","minuteCount","pickupCount","Date","DOW"
"213",188,66,2017-11-17,"Friday"
"214",91,28,2017-11-16,"Thursday"
"215",78,36,2017-11-15,"Wednesday"
"216",151,65,2017-11-14,"Tuesday"
"217",139,52,2017-11-13,"Monday"
"218",93,43,2017-11-12,"Sunday"
"219",156,47,2017-11-11,"Saturday"
"220",77,49,2017-11-10,"Friday"
"221",111,46,2017-11-09,"Thursday"
"222",89,43,2017-11-08,"Wednesday"
"223",50,27,2017-11-07,"Tuesday"
"224",129,62,2017-11-06,"Monday"
"225",132,57,2017-11-05,"Sunday"
"226",134,43,2017-11-04,"Saturday"
"227",192,51,2017-11-03,"Friday"
"228",75,33,2017-11-02,"Thursday"
"229",69,38,2017-11-01,"Wednesday"
"230",132,59,2017-10-31,"Tuesday"
"231",75,54,2017-10-30,"Monday"
"232",105,53,2017-10-29,"Sunday"
"233",112,42,2017-10-28,"Saturday"
"234",156,53,2017-10-27,"Friday"
"235",107,45,2017-10-26,"Thursday"
"236",108,54,2017-10-25,"Wednesday"
"237",118,39,2017-10-24,"Tuesday"
"238",127,55,2017-10-23,"Monday"
"239",95,46,2017-10-22,"Sunday"
"240",140,56,2017-10-21,"Saturday"
"241",85,45,2017-10-20,"Friday"
"242",162,58,2017-10-19,"Thursday"
"243",281,81,2017-10-18,"Wednesday"
"244",115,44,2017-10-17,"Tuesday"
"245",179,72,2017-10-16,"Monday"
"246",160,37,2017-10-15,"Sunday"
"247",118,47,2017-10-14,"Saturday"
"248",73,47,2017-10-13,"Friday"
"249",134,43,2017-10-12,"Thursday"
"250",124,50,2017-10-11,"Wednesday"
"251",234,77,2017-10-10,"Tuesday"
"252",96,50,2017-10-09,"Monday"
"253",90,43,2017-10-08,"Sunday"
"254",128,35,2017-10-07,"Saturday"
"255",93,49,2017-10-06,"Friday"
"256",122,46,2017-10-05,"Thursday"
"257",100,78,2017-10-04,"Wednesday"
"258",109,60,2017-10-03,"Tuesday"
"259",53,51,2017-10-02,"Monday"
"260",192,38,2017-10-01,"Sunday"
"261",137,58,2017-09-30,"Saturday"
"262",141,59,2017-09-29,"Friday"
"263",84,32,2017-09-28,"Thursday"
"264",84,51,2017-09-27,"Wednesday"
"265",78,46,2017-09-26,"Tuesday"
"266",138,60,2017-09-25,"Monday"
"267",70,24,2017-09-24,"Sunday"
"268",96,48,2017-09-23,"Saturday"
"269",142,59,2017-09-22,"Friday"
"270",121,56,2017-09-21,"Thursday"
"271",69,49,2017-09-20,"Wednesday"
"272",112,58,2017-09-19,"Tuesday"
"273",91,38,2017-09-18,"Monday"
"274",98,59,2017-09-17,"Sunday"
"275",92,42,2017-09-16,"Saturday"
"276",179,63,2017-09-15,"Friday"
"277",159,47,2017-09-14,"Thursday"
"278",71,37,2017-09-13,"Wednesday"
"279",174,40,2017-09-12,"Tuesday"
"280",94,37,2017-09-11,"Monday"
"281",44,27,2017-09-10,"Sunday"
"282",98,46,2017-09-09,"Saturday"
"283",95,79,2017-09-08,"Friday"
"284",262,54,2017-09-07,"Thursday"
"285",75,47,2017-09-06,"Wednesday"
"286",132,56,2017-09-05,"Tuesday"
"287",104,30,2017-09-04,"Monday"
"288",173,49,2017-09-03,"Sunday"
"289",223,65,2017-09-02,"Saturday"
